Undo the last sentence,1
Undue,1
Can do,1
And do,1
Under,1
Undo,1
Undue the last word,1
Can do the last word,1
And do the last word,1
Under the last word,1
Can you undo the last sentence,1
Can you undue the last sentence,1
Can you under the last sentence,1
Please undue the text,1
Please can do the text,1
Please and do the text,1
Please under the text,1
Please undo the text,1
Undo the selected text,1
Could you undo the last sentence,1
please undo for me,1
please undue for me,1
please can do for me,1
please and do for me,1
please under for me,1
please undo the selected word,1
will you undo the text for me,1
undo the previous sentence,1
please undo the selected text,1
could you undo the selected text,1
please undo the changes,1
please undo,1
please undue,1
please can do,1
please and do,1
please under,1
Kindly undo,1
Kindly undue,1
Kindly under,1
Kindly can do,1
Kindly and do,1
can you please undo,1
please undo last paragraph,1
could you undo the changes,1
Please make it bold,2
Please make it bald,2
Please make it ball,2
Please make it gold,2
Please make it told,2
Please make it old,2
Please make it bulb,2
Please make it both,2
Please make it cold,2
Please make it call,2
Please make it bolt,2
please emphasize,2
emphasize the word,2
can you emphasize the last word,2
emphasize it,2
emphasize the last two words,2
Please make it bold,2
Bold the last word,2
Make the selected word bold,2
Make the selected word bald,2
Make the selected word gold,2
Make the selected word ball,2
Make the selected word bolt,2
Make the selected word bowl,2
Make the selected word told,2
Make the selected word old,2
Make the selected word bulb,2
Make the selected word both,2
Make the selected word cold,2
Make the selected word call,2
Can you make it bold for me,2
Can you make it bald for me,2
Can you make it gold for me,2
Can you make it ball for me,2
Can you make it bolt for me,2
Can you make it bowl for me,2
Can you make it told for me,2
Can you make it old for me,2
Can you make it bulb for me,2
Can you make it both for me,2
Can you make it cold for me,2
Can you make it call for me,2
bold for me,2
Bald for me,2
Bolt for me,2
Gold for me,2
Ball for me,2
Bowl for me,2
Please told,2
Please old,2
Please bulb,2
Please both,2
Please cold,2
Please call,2
Please bald,2
Please gold,2
Please ball,2
Please bolt,2
Please bowl,2
Bold,2
Bolt,2
Bowl,2
Bald,2
Gold,2
Ball,2
Told,2
Old,2
Bulb,2
Both,2
call,2
